InsightID,CustomerID,ProductID,OrderID,PointsEarned,PointsRedeemed,TransactionDate
1,97,38,224,325,220,2023-01-01
2,176,18,496,338,233,2023-01-02
3,500,5,442,75,139,2023-01-03
4,411,47,326,375,286,2023-01-04
5,484,41,294,274,31,2023-01-05
6,253,37,214,471,169,2023-01-06
7,22,29,436,422,207,2023-01-07
8,162,48,352,395,171,2023-01-08
9,258,11,403,156,96,2023-01-09
10,69,45,171,201,181,2023-01-10
11,157,39,330,467,177,2023-01-11
12,151,18,61,324,278,2023-01-12
13,294,6,243,433,210,2023-01-13
14,371,21,306,445,242,2023-01-14
15,356,4,472,224,106,2023-01-15
16,5,11,468,278,233,2023-01-16
17,485,12,431,399,188,2023-01-17
18,67,28,39,429,204,2023-01-18
19,29,22,339,229,203,2023-01-19
20,437,22,194,143,96,2023-01-20
21,86,1,330,410,74,2023-01-21
22,283,5,242,412,202,2023-01-22
23,141,10,380,183,112,2023-01-23
24,166,42,310,345,121,2023-01-24
25,207,43,25,299,100,2023-01-25
26,309,24,486,18,157,2023-01-26
27,129,46,472,219,7,2023-01-27
28,207,23,432,27,30,2023-01-28
29,368,28,56,157,219,2023-01-29
30,118,2,496,312,282,2023-01-30
31,101,24,87,242,239,2023-01-31
32,170,45,243,362,52,2023-02-01
33,247,5,357,222,175,2023-02-02
34,412,37,211,479,23,2023-02-03
35,326,38,396,377,147,2023-02-04
36,439,23,388,499,107,2023-02-05
37,166,42,135,130,96,2023-02-06
38,91,39,112,77,115,2023-02-07
39,16,22,360,494,45,2023-02-08
40,445,10,213,69,140,2023-02-09
41,387,30,160,393,274,2023-02-10
42,139,7,88,135,8,2023-02-11
43,76,50,44,394,39,2023-02-12
44,388,48,51,420,30,2023-02-13
45,140,45,234,213,70,2023-02-14
46,115,48,403,76,159,2023-02-15
47,460,44,325,469,203,2023-02-16
48,401,40,9,142,51,2023-02-17
49,373,36,149,299,221,2023-02-18
50,402,29,360,281,118,2023-02-19
51,263,9,84,466,239,2023-02-20
52,399,47,419,369,23,2023-02-21
53,301,29,445,253,88,2023-02-22
54,339,25,480,388,266,2023-02-23
55,404,31,434,107,154,2023-02-24
56,208,36,427,146,298,2023-02-25
57,468,20,327,168,95,2023-02-26
58,343,47,415,116,130,2023-02-27
59,433,48,431,480,120,2023-02-28
60,63,44,488,125,15,2023-03-01
61,216,42,65,267,280,2023-03-02
62,428,32,198,195,191,2023-03-03
63,236,14,78,342,231,2023-03-04
64,226,28,120,408,15,2023-03-05
65,209,21,358,130,58,2023-03-06
