SupplierID,SupplierName,ContactDetails,DeliveryPerformance,ProductCategories
13,"Davis, Scott and Brown",(873)608-0877,Average,Home Appliances
16,"Becker, Rodriguez and Taylor",001-353-624-8826,Poor,Home Appliances
1,"Wiley, Oliver and Lewis",516.358.1229,Average,Home Appliances
4,Romero-Moreno,(856)568-4331,Good,Networking
4,Romero-Moreno,(856)568-4331,Good,Networking
8,Cunningham Ltd,545-290-1789,Poor,Electronics
10,Brown Inc,+1-705-290-5261x68277,Good,Home Appliances
20,Burns and Sons,213-423-9654x2387,Good,Home Appliances
19,Ramirez-Merritt,001-363-565-1034,Average,Entertainment
5,Watson Group,(230)756-1198,Poor,Home Appliances
7,Ortiz PLC,727.526.8551x025,Average,Networking
13,"Davis, Scott and Brown",(873)608-0877,Average,Home Appliances
2,"Choi, Mills and Moore",986-505-3799x3781,Excellent,Home Appliances
7,Ortiz PLC,727.526.8551x025,Average,Networking
8,Cunningham Ltd,545-290-1789,Poor,Electronics
15,Winters-Garza,200.556.7399,Poor,Home Appliances
18,Brown-Ortiz,001-865-564-0375x31506,Good,Electronics
6,Weiss and Sons,(825)476-5445,Excellent,Home Appliances
14,Henderson LLC,+1-675-899-8129x0777,Poor,Home Appliances
9,"Armstrong, Oconnor and Stewart",671.631.3393x550,Excellent,Home Appliances
